  id   |                request_id                | api_key_id | account_id | group_id |      model      | requested_model | upstream_model | stream | duration_ms |          created_at           | inbound_endpoint | upstream_endpoint 
 68418 | req_43ac0a4e-1c9d-4057-9168-7be9832cdb6c |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        1760 | 2026-05-20 14:00:24.902212+08 | /v1/messages     | /v1/messages
 68416 | req_75bd7aff-9420-48de-a0b2-1f8c30af9d9b |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        8565 | 2026-05-20 14:00:23.086025+08 | /v1/messages     | /v1/messages
 68415 | req_4155cf16-50a8-4d47-abd4-76320ef4b244 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        7936 | 2026-05-20 14:00:22.456725+08 | /v1/messages     | /v1/messages
 68414 | req_da6dccd4-5106-4ca5-823a-715b64d4cf82 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        7591 | 2026-05-20 14:00:22.121769+08 | /v1/messages     | /v1/messages
 68413 | req_9975b2c9-e9ef-4840-95b2-4c31359d7825 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        7219 | 2026-05-20 14:00:21.751493+08 | /v1/messages     | /v1/messages
 68412 | req_0a80bf40-b040-49cd-a01d-79a510b37f1d |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        6764 | 2026-05-20 14:00:21.30748+08  | /v1/messages     | /v1/messages
 68411 | req_1e62ae43-f9b3-4444-8e94-0dfc6dfb86c1 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        6471 | 2026-05-20 14:00:20.994081+08 | /v1/messages     | /v1/messages
 68410 | req_e77d8c76-3bae-4a80-9c45-eb30e54b63f0 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        6384 | 2026-05-20 14:00:20.927071+08 | /v1/messages     | /v1/messages
 68408 | req_85b66c3e-6e27-413e-8cc8-a0638c7afac3 |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        4059 | 2026-05-20 14:00:18.57783+08  | /v1/messages     | /v1/messages
 68407 | req_f69fef25-c5d3-41ba-bea9-3fe5b869b1af |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        2078 | 2026-05-20 14:00:16.610281+08 | /v1/messages     | /v1/messages
 68406 | req_3a2715c8-e8ac-4d42-88aa-ff9dc20d5c9a |          2 |         24 |        1 | claude-opus-4-7 | claude-opus-4-7 |                | f      |        1647 | 2026-05-20 14:00:16.192014+08 | /v1/messages     | /v1/messages
(109 rows)

